id,key,English,Hindi,Tamil,Gujarati,Bengali,Telugu,Marathi,Malayalam,Kannada,channel
"13","time","Time","समय","நேரம்","Time","Time","Time","Time","Time","ಸಮಯ","IB"
"14","videoconRecharge","Videocon Recharge","वीडियोकॉन रिचार्ज","வீடியோகான் ரீசார்ஜ்","Videocon Recharge","Videocon Recharge","ವಿಡಿಯೋಕಾನ್ ರೀಚಾರ್ಜ್","Videocon Recharge","Videocon Recharge","ವಿಡಿಯೋಕಾನ್ ರೀಚಾರ್ಜ್","IB"
"15","depositType","Deposit Type","जमा का प्रकार","டெபாசிட் வகை","Deposit Type","Deposit Type","ಠೇವಣಿ ಪ್ರಕಾರ","Deposit Type","Deposit Type","ಠೇವಣಿ ಪ್ರಕಾರ","IB"
"16","chequePickup","Cheque Pickup","इक्विटास के साथ अपना पैसा बढ़ाएँ","காசோலையை தொடர்பான","Cheque Pickup","Cheque Pickup","Cheque Pickup","Cheque Pickup","Cheque Pickup","ಚೆಕ್ ಪಿಕಪ್","IB"
"17","timeKYC","9 AM — 6 PM","9 AM — 6 PM","காலை 9 மணி முதல் மாலை 6 மணி வரை","9 AM — 6 PM","9 AM — 6 PM","9 AM - 6 PM","9 AM — 6 PM","9 AM — 6 PM","9 AM - 6 PM","IB"
"18","interestCertificateTitle","Savings Account Interest Certificate","बचत खाता ब्याज प्रमाणपत्र","சேமிப்புகள் கணக்கு வட்டி சான்றிதழ்","Savings Account Interest Certificate","Savings Account Interest Certificate","ಉಳಿತಾಯ ಖಾತೆ ಬಡ್ಡಿ ಪ್ರಮಾಣಪತ್ರ","Savings Account Interest Certificate","Savings Account Interest Certificate","ಉಳಿತಾಯ ಖಾತೆ ಬಡ್ಡಿ ಪ್ರಮಾಣಪತ್ರ","IB"
"19","coBorrowerName","Co-Borrower Name","सह-उधारकर्ता का नाम","இணை கடன் பெறுபவரின்பெயர்","Co-Borrower Name","Co-Borrower Name","Co-Borrower Name","Co-Borrower Name","Co-Borrower Name","ಸಹ-ಸಾಲಗಾರ ಹೆಸರು","IB"
"20","daughter","Daughter","बेटी","மகள்","Daughter","Daughter","ಮಗಳು","Daughter","Daughter","ಮಗಳು","IB"
"21","otpverification","OTP Verification","इक्विटास के साथ अपना पैसा बढ़ाएँ","OTP சரிபார்ப்பு","OTP Verification","OTP Verification","OTP Verification","OTP Verification","OTP Verification","OTP ಪರಿಶೀಲನೆ","IB"
"22","freezeAccountDescription","Please Unfreeze your account to start using all the facilities.","कृपया सभी सुविधाओं का उपयोग शुरू करने के लिए अपने खाते को अनफ़्रीज़ करें।","அனைத்து வசதிகளையும் பயன்படுத்தத் தொடங்க, உங்கள் கணக்கை முடக்கு நீக்கம் செய்யவும்.","Please Unfreeze your account to start using all the facilities.","Please Unfreeze your account to start using all the facilities.","ಎಲ್ಲಾ ಸೌಲಭ್ಯಗಳನ್ನು ಬಳಸಲು ಪ್ರಾರಂಭಿಸಲು ನಿಮ್ಮ ಖಾತೆಯನ್ನು ಅನ್·ಫ್ರೀಜ್ ಮಾಡಿ.","Please Unfreeze your account to start using all the facilities.","Please Unfreeze your account to start using all the facilities.","ಎಲ್ಲಾ ಸೌಲಭ್ಯಗಳನ್ನು ಬಳಸಲು ಪ್ರಾರಂಭಿಸಲು ನಿಮ್ಮ ಖಾತೆಯನ್ನು ಅನ್·ಫ್ರೀಜ್ ಮಾಡಿ.","IB"
"23","nameOfAssessee","Name of Assessee (Declarant)","इक्विटास के साथ अपना पैसा बढ़ाएँ","வரி செலுத்துபவரின் பெயர் (உறுதி அளிப்பவர்)","Name of Assessee (Declarant)","Name of Assessee (Declarant)","Name of Assessee (Declarant)","Name of Assessee (Declarant)","Name of Assessee (Declarant)","ಅಸೆಸ್ಸಿಯ ಹೆಸರು (ಘೋಷಣಾಕಾರ)","IB"
"24","request","Request","अनुरोध","கோரிக்கை","Request","Request","ವಿನಂತಿ","Request","Request","ವಿನಂತಿ","IB"
"25","chequeStatusMessage","Placeholder some text will be shown here for now just a temp text and it will be changed later.","प्लेसहोल्डर में कुछ टेक्स्ट अभी के लिए केवल एक टेम्प टेक्स्ट के रूप में दिखाया जाएगा और इसे बाद में बदल दिया जाएगा।","ப்ளாஸ்ஹோல்டரில் சில உரைகள் இப்போது தற்காலிக உரையாக மட்டுமே காட்டப்படும், அது பின்னர் மாற்றப்படும்.","Placeholder some text will be shown here for now just a temp text and it will be changed later.","Placeholder some text will be shown here for now just a temp text and it will be changed later.","ಪ್ಲೇಸ್·ಹೋಲ್ಡರ್ ಕೆಲವು ಪಠ್ಯವನ್ನು ಸದ್ಯಕ್ಕೆ ಇಲ್ಲಿ ತೋರಿಸಲಾಗುತ್ತದೆ ಕೇವಲ ತಾತ್ಕಾಲಿಕ ಪಠ್ಯ ಮತ್ತು ಅದನ್ನು ನಂತರ ಬದಲಾಯಿಸಲಾಗುತ್ತದೆ.","Placeholder some text will be shown here for now just a temp text and it will be changed later.","Placeholder some text will be shown here for now just a temp text and it will be changed later.","ಪ್ಲೇಸ್·ಹೋಲ್ಡರ್ ಕೆಲವು ಪಠ್ಯವನ್ನು ಸದ್ಯಕ್ಕೆ ಇಲ್ಲಿ ತೋರಿಸಲಾಗುತ್ತದೆ ಕೇವಲ ತಾತ್ಕಾಲಿಕ ಪಠ್ಯ ಮತ್ತು ಅದನ್ನು ನಂತರ ಬದಲಾಯಿಸಲಾಗುತ್ತದೆ.","IB"
"26","internationalUsage","International Usage","अंतर्राष्ट्रीय उपयोग","சர்வதேச பயன்பாடு","International Usage","International Usage","ಅಂತರರಾಷ್ಟ್ರೀಯ ಬಳಕೆ","International Usage","International Usage","ಅಂತರರಾಷ್ಟ್ರೀಯ ಬಳಕೆ","IB"
"27","amortizationSchedule","Amortization Schedule","इक्विटास के साथ अपना पैसा बढ़ाएँ","கடன் தீர்வு அட்டவணை","Amortization Schedule","Amortization Schedule","Amortization Schedule","Amortization Schedule","Amortization Schedule","ಭೋಗ್ಯ ವೇಳಾಪಟ್ಟಿ","IB"
"28","planRegularIncome","Plan a Regular Income, even after Retirement","सेवानिवृत्ति के बाद भी नियमित आय की योजना बनाएं","ஓய்வு பெற்ற பிறகும் வழக்கமான வருமானத்தைத் திட்டமிடுங்கள்","Plan a Regular Income, even after Retirement","Plan a Regular Income, even after Retirement","ನಿವೃತ್ತಿಯ ನಂತರವೂ ನಿಯಮಿತ ಆದಾಯವನ್ನು ಯೋಜಿಸಿ","Plan a Regular Income, even after Retirement","Plan a Regular Income, even after Retirement","ನಿವೃತ್ತಿಯ ನಂತರವೂ ನಿಯಮಿತ ಆದಾಯವನ್ನು ಯೋಜಿಸಿ","IB"
"29","verifiedCustomerId","Customer ID verified","ग्राहक ID सत्यापित","வாடிக்கையாளர் ID சரிபார்க்கப்பட்டது","Customer ID verified","Customer ID verified","ಗ್ರಾಹಕ ID ಪರಿಶೀಲಿಸಲಾಗಿದೆ","Customer ID verified","Customer ID verified","ಗ್ರಾಹಕ ID ಪರಿಶೀಲಿಸಲಾಗಿದೆ","IB"
"30","pinName","PIN","इक्विटास के साथ अपना पैसा बढ़ाएँ","PIN","PIN","PIN","PIN","PIN","PIN","ಪಿನ್","IB"
"31","createSI","Create New Standing Instruction","नया स्थायी निर्देश बनाएं","புதிய நிலையான அறிவுறுத்தலை உருவாக்கவும்","Create New Standing Instruction","Create New Standing Instruction","ಹೊಸ ಸ್ಥಾಯಿ ಸೂಚನೆಯನ್ನು ರಚಿಸಿ","Create New Standing Instruction","Create New Standing Instruction","ಹೊಸ ಸ್ಥಾಯಿ ಸೂಚನೆಯನ್ನು ರಚಿಸಿ","IB"
"32","currentFinancialYear","Current Financial Year","इक्विटास के साथ अपना पैसा बढ़ाएँ","நடப்பு நிதியாண்டு","Current Financial Year","Current Financial Year","Current Financial Year","Current Financial Year","Current Financial Year","ಪ್ರಸ್ತುತ ಹಣಕಾಸು ವರ್ಷ","IB"
"33","downloadByExcel","Download as Excel","एक्सेल में डाउनलोड करें","Excel-ஆக பதிவிறக்குக","Download as Excel","Download as Excel","Excel ಆಗಿ ಡೌನ್·ಲೋಡ್ ಮಾಡಿ","Download as Excel","Download as Excel","Excel ಆಗಿ ಡೌನ್·ಲೋಡ್ ಮಾಡಿ","IB"
"34","amountRange","Amount Range","इक्विटास के साथ अपना पैसा बढ़ाएँ","தொகை வரம்பு","Amount Range","Amount Range","Amount Range","Amount Range","Amount Range","ಮೊತ್ತದ ಶ್ರೇಣಿ","IB"
"35","debitAuth","Debit Card","डेबिट कार्ड","டெபிட் கார்டு","Debit Card","Debit Card","ಡೆಬಿಟ್ ಕಾರ್ಡ್","Debit Card","Debit Card","ಡೆಬಿಟ್ ಕಾರ್ಡ್","IB"
"36","contactNearBranch","Contact Nearest Branch","नजदीकी शाखा से संपर्क करें","அருகிலுள்ள கிளையை தொடர்புகொள்ளவும்","Contact Nearest Branch","Contact Nearest Branch","ಹತ್ತಿರದ ಶಾಖೆಯನ್ನು ಸಂಪರ್ಕಿಸಿ","Contact Nearest Branch","Contact Nearest Branch","ಹತ್ತಿರದ ಶಾಖೆಯನ್ನು ಸಂಪರ್ಕಿಸಿ","IB"
"37","subjectToTDS","Subject to TDS","TDS के अधीन","TDS-க்கு உட்பட்டது","Subject to TDS","Subject to TDS","TDS ಗೆ ಒಳಪಟ್ಟಿರುತ್ತದೆ","Subject to TDS","Subject to TDS","TDS ಗೆ ಒಳಪಟ್ಟಿರುತ್ತದೆ","IB"
"38","bills","Bills","बिल्स","பில்கள்","Bills","Bills","ಬಿಲ್·ಗಳು","Bills","Bills","ಬಿಲ್·ಗಳು","IB"
"39","clickforNPS","Click for NPS SIP","NPS SIP के लिए क्लिक करें","NPS SIP-ற்கு கிளிக் செய்யவும்","Click for NPS SIP","Click for NPS SIP","NPS SIP ಗಾಗಿ ಕ್ಲಿಕ್ ಮಾಡಿ","Click for NPS SIP","Click for NPS SIP","NPS SIP ಗಾಗಿ ಕ್ಲಿಕ್ ಮಾಡಿ","IB"
"40","viewMore","View More","और देखें","மேலும் பார்க்க","View More","View More","ಇನ್ನಷ್ಟು ವೀಕ್ಷಿಸಿ","View More","View More","ಇನ್ನಷ್ಟು ವೀಕ್ಷಿಸಿ","IB"
"41","enterPan","Enter PAN","PAN दर्ज करें","PAN-ஐ உள்ளிடவும்","Enter PAN","Enter PAN","PAN ನಮೂದಿಸಿ","Enter PAN","Enter PAN","PAN ನಮೂದಿಸಿ","IB"
"42","notRegistered","Not Registered","पंजीकृत नहीं है","பதிவு செய்யப்படவில்லை","Not Registered","Not Registered","ನೋಂದಣಿಯಾಗಿಲ್ಲ","Not Registered","Not Registered","ನೋಂದಣಿಯಾಗಿಲ್ಲ","IB"
"43","paymentMode","Payment Mode","भुगतान का प्रकार","கட்டணம் செலுத்தும் முறை","Payment Mode","Payment Mode","Payment Mode","Payment Mode","Payment Mode","ಪಾವತಿ ಮೋಡ್","IB"
"44","accountRelatedText","Account Related","खाता संबंधी","கணக்கு தொடர்புடையது","Account Related","Account Related","ಖಾತೆ ಸಂಬಂಧಿತ","Account Related","Account Related","ಖಾತೆ ಸಂಬಂಧಿತ","IB"
"45","mobile","Mobile","मोबाईल","மொபைல்","Mobile","Mobile","ಮೊಬೈಲ್","Mobile","Mobile","ಮೊಬೈಲ್","IB"
"46","forgotPasswordOptions","Please enter your User ID to proceed","आगे बढ़ने के लिए कृपया अपनी यूज़र आईडी दर्ज करें","மேலும் தொடர உங்கள் பயனர் ஐடியை உள்ளிடவும்","Please enter your User ID to proceed","Please enter your User ID to proceed","Please enter your User ID to proceed","Please enter your User ID to proceed","Please enter your User ID to proceed","ಮುಂದುವರಿಯಲು ದಯವಿಟ್ಟು ನಿಮ್ಮ ಬಳಕೆದಾರ ಐಡಿಯನ್ನು ನಮೂದಿಸಿ","IB"
"47","nomineeName","Nominee Name","नामांकित व्यक्ति का नाम","நியமனதாரர் பெயர்","Nominee Name","Nominee Name","ನಾಮಿನಿ ಹೆಸರು","Nominee Name","Nominee Name","ನಾಮಿನಿ ಹೆಸರು","IB"
"48","debitCardNo","Debit Card No.","डेबिट कार्ड नं.","டெபிட் கார்டு எண்","Debit Card No.","Debit Card No.","ಡೆಬಿಟ್ ಕಾರ್ಡ್ ಸಂ.","Debit Card No.","Debit Card No.","ಡೆಬಿಟ್ ಕಾರ್ಡ್ ಸಂ.","IB"
"49","otherOptions","Other Options","इक्विटास के साथ अपना पैसा बढ़ाएँ","பிற விருப்பங்கள்","Other Options","Other Options","Other Options","Other Options","Other Options","ಇತರೆ ಆಯ್ಕೆಗಳು","IB"
"50","recharges","Recharges","रिचार्ज करना","ரீசார்ஜ்கள்","Recharges","Recharges","ರೀಚಾರ್ಜ್·ಗಳು","Recharges","Recharges","ರೀಚಾರ್ಜ್·ಗಳು","IB"
"51","form15GPreview","Form 15G Preview","इक्विटास के साथ अपना पैसा बढ़ाएँ","படிவம் 15G மாதிரிக்காட்சி","Form 15G Preview","Form 15G Preview","Form 15G Preview","Form 15G Preview","Form 15G Preview","ಫಾರ್ಮ್ 15G ಪೂರ್ವವೀಕ್ಷಣೆ","IB"
"52","otpSentNotification","OTP Sent to","OTP भेजा गया","OTP அனுப்பப்பட்ட எண்","OTP Sent to","OTP Sent to","ಇದಕ್ಕೆ OTP ಕಳುಹಿಸಲಾಗಿದೆ","OTP Sent to","OTP Sent to","ಇದಕ್ಕೆ OTP ಕಳುಹಿಸಲಾಗಿದೆ","IB"
"53","197A","Declaration under section 197A(1C) to be made by individual who is of the age of sixty years or more claiming certain incomes without deduction of tax.","धारा 197A(1C) के तहत घोषणा उस व्यक्ति द्वारा की जानी चाहिए जो साठ वर्ष या उससे अधिक की आयु का है और कर कटौती के बिना कुछ आय का दावा करता है।","பிரிவு 197A(1C)-இன் கீழ் மேற்கொள்ளப்படும் அறிவிப்பானது, வரி விலக்கு இல்லாமல் குறிப்பிட்ட வருமானத்தைக் கிளைம் செய்யும் அறுபது வயது அல்லது அதற்கு மேற்பட்ட வயதுடைய நபரால் பிரிவு 197A(1C)-இன் கீழ் மேற்கொள்ளப்படும் பிரகடனம்","Declaration under section 197A(1C) to be made by individual who is of the age of sixty years or more claiming certain incomes without deduction of tax.","Declaration under section 197A(1C) to be made by individual who is of the age of sixty years or more claiming certain incomes without deduction of tax.","ಸೆಕ್ಷನ್ 197A(1C) ಅಡಿಯಲ್ಲಿ ತೆರಿಗೆ ಕಡಿತವಿಲ್ಲದೆ ಕೆಲವು ಆದಾಯವನ್ನು ಕ್ಲೈಮ್ ಮಾಡುವ ಅರವತ್ತು ವರ್ಷ ಅಥವಾ ಅದಕ್ಕಿಂತ ಹೆಚ್ಚಿನ ವಯಸ್ಸಿನವರು ಘೋಷಣೆಯನ್ನು ಮಾಡಬೇಕು.","Declaration under section 197A(1C) to be made by individual who is of the age of sixty years or more claiming certain incomes without deduction of tax.","Declaration under section 197A(1C) to be made by individual who is of the age of sixty years or more claiming certain incomes without deduction of tax.","ಸೆಕ್ಷನ್ 197A(1C) ಅಡಿಯಲ್ಲಿ ತೆರಿಗೆ ಕಡಿತವಿಲ್ಲದೆ ಕೆಲವು ಆದಾಯವನ್ನು ಕ್ಲೈಮ್ ಮಾಡುವ ಅರವತ್ತು ವರ್ಷ ಅಥವಾ ಅದಕ್ಕಿಂತ ಹೆಚ್ಚಿನ ವಯಸ್ಸಿನವರು ಘೋಷಣೆಯನ್ನು ಮಾಡಬೇಕು.","IB"
"54","mobileNumberVerified","Mobile Number Verified!","मोबाइल नंबर सत्यापित!","மொபைல் எண் சரிபார்க்கப்பட்டது","Mobile Number Verified!","Mobile Number Verified!","ಮೊಬೈಲ್ ಸಂಖ್ಯೆ ಪರಿಶೀಲಿಸಲಾಗಿದೆ!","Mobile Number Verified!","Mobile Number Verified!","ಮೊಬೈಲ್ ಸಂಖ್ಯೆ ಪರಿಶೀಲಿಸಲಾಗಿದೆ!","IB"
"55","languageUpdateBold","Preferred Language","पसंदीदा भाषा","விருப்ப மொழியைத் தேர்ந்தெடுங்கள்","Preferred Language","Preferred Language","ಆದ್ಯತೆಯ ಭಾಷೆ","Preferred Language","Preferred Language","ಆದ್ಯತೆಯ ಭಾಷೆ","IB"
"56","debitCardAuthentication","Debit Card Authentication","डेबिट कार्ड प्रमाणीकरण","டெபிட் கார்டு சரிபார்ப்பு","Debit Card Authentication","Debit Card Authentication","ಡೆಬಿಟ್ ಕಾರ್ಡ್ ದೃಢೀಕರಣ","Debit Card Authentication","Debit Card Authentication","ಡೆಬಿಟ್ ಕಾರ್ಡ್ ದೃಢೀಕರಣ","IB"
"57","authentication","Authentication","प्रमाणीकरण","சரிபார்ப்பு","Authentication","Authentication","ದೃಢೀಕರಣ","Authentication","Authentication","ದೃಢೀಕರಣ","IB"
"58","interestCertificateDialogMsg","The Interest Certificate request submitted successfully. Interest certificate will be sent to your registered email ID within 2 working Days.","ब्याज प्रमाणपत्र अनुरोध सफलतापूर्वक प्रस्तुत किया गया। ब्याज प्रमाणपत्र 2 कार्य दिवसों के भीतर आपकी पंजीकृत ईमेल ID पर भेज दिया जाएगा।","வட்டிச் சான்றிதழ் கோரிக்கை வெற்றிகரமாகச் சமர்ப்பிக்கப்பட்டது. உங்களின் பதிவு செய்யப்பட்ட மின்னஞ்சல் முகவரிக்கு  2 வேலை நாட்களுக்குள் வட்டி சான்றிதழ் அனுப்பப்படும்.","The Interest Certificate request submitted successfully. Interest certificate will be sent to your registered email ID within 2 working Days.","The Interest Certificate request submitted successfully. Interest certificate will be sent to your registered email ID within 2 working Days.","ಬಡ್ಡಿ ಪ್ರಮಾಣಪತ್ರ ವಿನಂತಿಯನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಸಲ್ಲಿಸಲಾಗಿದೆ.  2 ಕೆಲಸದ ದಿನಗಳಲ್ಲಿ ನಿಮ್ಮ ನೋಂದಾಯಿತ ಇಮೇಲ್ ID ಗೆ ಬಡ್ಡಿ ಪ್ರಮಾಣಪತ್ರವನ್ನು ಕಳುಹಿಸಲಾಗುತ್ತದೆ.","The Interest Certificate request submitted successfully. Interest certificate will be sent to your registered email ID within 2 working Days.","The Interest Certificate request submitted successfully. Interest certificate will be sent to your registered email ID within 2 working Days.","ಬಡ್ಡಿ ಪ್ರಮಾಣಪತ್ರ ವಿನಂತಿಯನ್ನು ಯಶಸ್ವಿಯಾಗಿ ಸಲ್ಲಿಸಲಾಗಿದೆ.  2 ಕೆಲಸದ ದಿನಗಳಲ್ಲಿ ನಿಮ್ಮ ನೋಂದಾಯಿತ ಇಮೇಲ್ ID ಗೆ ಬಡ್ಡಿ ಪ್ರಮಾಣಪತ್ರವನ್ನು ಕಳುಹಿಸಲಾಗುತ್ತದೆ.","IB"
"59","openSelfieAccount","Open a Selfe Account","एक सेल्फी खाता खोलें","செல்ஃபி கணக்கைத் தொடங்கவும்","Open a Selfe Account","Open a Selfe Account","ಸೆಲ್ಫಿ ಖಾತೆ ತೆರೆಯಿರಿ","Open a Selfe Account","Open a Selfe Account","ಸೆಲ್ಫಿ ಖಾತೆ ತೆರೆಯಿರಿ","IB"
"60","amount","Amount","राशी/ मात्रा","தொகை","Amount","Amount","ಮೊತ್ತ","Amount","Amount","ಮೊತ್ತ","IB"
"61","transactionAmountHelperText","Maximum ₹ 2,00,000 limit. Charges may apply","अधिकतम ₹ 2,00,000। शुल्क लागू हो सकते हैं","அதிகபட்ச வரம்பு  2,00,000. கட்டணங்கள் பொருந்தக்கூடும்","Maximum ₹ 2,00,000 limit. Charges may apply","Maximum ₹ 2,00,000 limit. Charges may apply","ಗರಿಷ್ಠ ₹ 2,00,000 ಕಿಮಿಟ್. ಶುಲ್ಕಗಳು ಅನ್ವಯಿಸಬಹುದು","Maximum ₹ 2,00,000 limit. Charges may apply","Maximum ₹ 2,00,000 limit. Charges may apply","ಗರಿಷ್ಠ ₹ 2,00,000 ಕಿಮಿಟ್. ಶುಲ್ಕಗಳು ಅನ್ವಯಿಸಬಹುದು","IB"
"62","tdsNote","Note","नोट","குறிப்பு","Note","Note","ಗಮನಿಸಿ","Note","Note","ಗಮನಿಸಿ","IB"
"63","transferMoneyFrom","Transfer money from","इक्विटास के साथ अपना पैसा बढ़ाएँ","இருந்து பணத்தை அனுப்பவும்","Transfer money from","Transfer money from","Transfer money from","Transfer money from","Transfer money from","ನಿಂದ ಹಣವನ್ನು ವರ್ಗಾಯಿಸಿ","IB"
"64","branchName","Branch Name","शाखा का नाम","வங்கி கிளை பெயர்","Branch Name","Branch Name","ಶಾಖೆಯ ಹೆಸರು","Branch Name","Branch Name","ಶಾಖೆಯ ಹೆಸರು","IB"
"65","emailID","Email ID","ईमेल ID","மின்னஞ்சல் முகவரி","Email ID","Email ID","ಇಮೇಲ್ ID","Email ID","Email ID","ಇಮೇಲ್ ID","IB"
"66","whatsappweb","WhatsApp Web","इक्विटास के साथ अपना पैसा बढ़ाएँ","வாட்ஸ்அப் வலை","WhatsApp Web","WhatsApp Web","WhatsApp Web","WhatsApp Web","WhatsApp Web","WhatsApp ವೆಬ್","IB"
"67","cashPickup","Cash Pickup","इक्विटास के साथ अपना पैसा बढ़ाएँ","பணத்தைப் பெறுதல்","Cash Pickup","Cash Pickup","Cash Pickup","Cash Pickup","Cash Pickup","ನಗದು ಪಿಕಪ್","IB"
"68","loanTerm","Loan Term","इक्विटास के साथ अपना पैसा बढ़ाएँ","கடன் காலம்","Loan Term","Loan Term","Loan Term","Loan Term","Loan Term","ಸಾಲದ ಅವಧಿ","IB"
"69","languageText","Choose Your Language","अपनी भाषा चुनें","உங்கள் மொழியைத் தேர்ந்தெடுக்கவும்","Choose Your Language","Choose Your Language","ನಿಮ್ಮ ಭಾಷೆಯನ್ನು ಆರಿಸಿ","Choose Your Language","Choose Your Language","ನಿಮ್ಮ ಭಾಷೆಯನ್ನು ಆರಿಸಿ","IB"
"70","rdSummary","Recurring Deposit Summary","आवर्ती जमा सारांश","தொடர் வைப்புத்தொகை சுருக்கம்","Recurring Deposit Summary","Recurring Deposit Summary","ಮರುಕಳಿಸುವ ಠೇವಣಿ ಸಾರಾಂಶ","Recurring Deposit Summary","Recurring Deposit Summary","ಮರುಕಳಿಸುವ ಠೇವಣಿ ಸಾರಾಂಶ","IB"
"71","chequeBookDelivered","Cheque Book Delivered","चेक बुक वितरित","காசோலை புத்தகம் டெலிவரி செய்யப்பட்டது","Cheque Book Delivered","Cheque Book Delivered","ಚೆಕ್ ಪುಸ್ತಕವನ್ನು ವಿತರಿಸಲಾಗಿದೆ","Cheque Book Delivered","Cheque Book Delivered","ಚೆಕ್ ಪುಸ್ತಕವನ್ನು ವಿತರಿಸಲಾಗಿದೆ","IB"
"72","recurringPayment","Recurring Payment","आवर्ती भुगतान","தொடர்ச்சியான கட்டணம்","Recurring Payment","Recurring Payment","Recurring Payment","Recurring Payment","Recurring Payment","ಪುನರಾವರ್ತಿತ ಪಾವತಿ","IB"
